Model,FeatureSelection,Scaler,Number of features,Rmse,R2 Score(train),R2 Score(test),Params
LinearRegression,SelectKBest,StandardScaler(),7,231262.5544919078,0.6368753286322111,0.6462261395177487,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': None, 'normalize': 'deprecated', 'positive': False}"
LinearRegression,VarianceThreshold,StandardScaler(),19,234863.03640983594,0.6408959541231117,0.6351247156511295,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': None, 'normalize': 'deprecated', 'positive': False}"
LinearRegression,VarianceThreshold,RobustScaler(),19,234871.1007882763,0.6409185470722344,0.6350996581287627,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': None, 'normalize': 'deprecated', 'positive': False}"
LinearRegression,VarianceThreshold,MinMaxScaler(),19,234871.10078827632,0.6409185470722344,0.6350996581287626,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': None, 'normalize': 'deprecated', 'positive': False}"
LinearRegression,VarianceThreshold,-,19,234871.10078828878,0.6409185470722343,0.6350996581287239,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': None, 'normalize': 'deprecated', 'positive': False}"
LinearRegression,VarianceThreshold,MinMaxScaler(),16,235773.17855441256,0.6387772103437175,0.6322913040256988,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': None, 'normalize': 'deprecated', 'positive': False}"
LinearRegression,VarianceThreshold,RobustScaler(),16,235773.17855441256,0.6387772103437175,0.6322913040256988,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': None, 'normalize': 'deprecated', 'positive': False}"
LinearRegression,VarianceThreshold,StandardScaler(),16,235773.17855441256,0.6387772103437175,0.6322913040256987,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': None, 'normalize': 'deprecated', 'positive': False}"
LinearRegression,VarianceThreshold,-,16,235773.17855442697,0.6387772103437175,0.6322913040256537,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': None, 'normalize': 'deprecated', 'positive': False}"
LinearRegression,VarianceThreshold,MinMaxScaler(),13,244720.08061255512,0.6085627570649652,0.6038548731416848,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': None, 'normalize': 'deprecated', 'positive': False}"
LinearRegression,VarianceThreshold,RobustScaler(),13,244720.0806125551,0.6085627570649652,0.6038548731416848,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': None, 'normalize': 'deprecated', 'positive': False}"
LinearRegression,VarianceThreshold,-,13,244720.0806125785,0.6085627570649651,0.603854873141609,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': None, 'normalize': 'deprecated', 'positive': False}"
LinearRegression,VarianceThreshold,StandardScaler(),13,244803.5806532404,0.6085483957210314,0.6035844925716756,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': None, 'normalize': 'deprecated', 'positive': False}"
