Model,FeatureSelection,Scaler,Number of features,Rmse,R2 Score(train),R2 Score(test),Params
SVR,SelectKBest,StandardScaler(),16,765694.0054229992,-3.4485475577882063,-2.8781588856396434,"{'C': 1.0, 'cache_size': 200, 'coef0': 0.0, 'degree': 3, 'epsilon': 0.1, 'gamma': 'scale', 'kernel': 'rbf', 'max_iter': 100, 'shrinking': True, 'tol': 0.001, 'verbose': False}"
SVR,SFS,StandardScaler(),7,766558.8562463771,-3.458867264242458,-2.886924588566073,"{'C': 1.0, 'cache_size': 200, 'coef0': 0.0, 'degree': 3, 'epsilon': 0.1, 'gamma': 'scale', 'kernel': 'rbf', 'max_iter': 100, 'shrinking': True, 'tol': 0.001, 'verbose': False}"
SVR,SFS,RobustScaler(),19,376237.66369522846,0.056043967644037,0.0636469237250286,"{'C': 100, 'cache_size': 200, 'coef0': 1, 'degree': 3, 'epsilon': 0.1, 'gamma': 'scale', 'kernel': 'poly', 'max_iter': 100, 'shrinking': True, 'tol': 0.001, 'verbose': False}"
SVR,SelectKBest,RobustScaler(),7,380700.7340225529,0.0167256108080633,0.0413004309879272,"{'C': 100, 'cache_size': 200, 'coef0': 1, 'degree': 3, 'epsilon': 0.1, 'gamma': 'scale', 'kernel': 'poly', 'max_iter': 100, 'shrinking': True, 'tol': 0.001, 'verbose': False}"
SVR,SFS,-,16,389514.7035342862,-0.0097533542720924,-0.0036049997675586,"{'C': 100, 'cache_size': 200, 'coef0': 1, 'degree': 3, 'epsilon': 0.1, 'gamma': 'scale', 'kernel': 'poly', 'max_iter': 100, 'shrinking': True, 'tol': 0.001, 'verbose': False}"
SVR,SFS,-,12,390014.78510877007,-0.0139341645339094,-0.0061836266487604,"{'C': 100, 'cache_size': 200, 'coef0': 1, 'degree': 3, 'epsilon': 0.1, 'gamma': 'scale', 'kernel': 'poly', 'max_iter': 100, 'shrinking': True, 'tol': 0.001, 'verbose': False}"
SVR,VarianceThreshold,RobustScaler(),19,434571.194589922,-0.2037493263336061,-0.2492143819508585,"{'C': 100, 'cache_size': 200, 'coef0': 1, 'degree': 3, 'epsilon': 0.1, 'gamma': 'scale', 'kernel': 'poly', 'max_iter': 100, 'shrinking': True, 'tol': 0.001, 'verbose': False}"
SVR,SelectKBest,StandardScaler(),16,470294.6752948253,-0.6029694493928319,-0.4630367224475324,"{'C': 100, 'cache_size': 200, 'coef0': 1, 'degree': 3, 'epsilon': 0.1, 'gamma': 'scale', 'kernel': 'poly', 'max_iter': 100, 'shrinking': True, 'tol': 0.001, 'verbose': False}"
SVR,SelectKBest,RobustScaler(),19,513418.7598871285,-0.8855149518850531,-0.7436470146021543,"{'C': 100, 'cache_size': 200, 'coef0': 1, 'degree': 3, 'epsilon': 0.1, 'gamma': 'scale', 'kernel': 'poly', 'max_iter': 100, 'shrinking': True, 'tol': 0.001, 'verbose': False}"
SVR,SFS,-,7,538612.883291084,-1.0562750490844053,-0.9189717365610806,"{'C': 100, 'cache_size': 200, 'coef0': 1, 'degree': 3, 'epsilon': 0.1, 'gamma': 'scale', 'kernel': 'poly', 'max_iter': 100, 'shrinking': True, 'tol': 0.001, 'verbose': False}"
SVR,SFS,StandardScaler(),16,555494.8294700296,-1.2804803974838013,-1.0411510540304256,"{'C': 100, 'cache_size': 200, 'coef0': 1, 'degree': 3, 'epsilon': 0.1, 'gamma': 'scale', 'kernel': 'poly', 'max_iter': 100, 'shrinking': True, 'tol': 0.001, 'verbose': False}"
SVR,SelectKBest,StandardScaler(),7,578381.1380492244,-1.3191312585929875,-1.2128060324710734,"{'C': 100, 'cache_size': 200, 'coef0': 1, 'degree': 3, 'epsilon': 0.1, 'gamma': 'scale', 'kernel': 'poly', 'max_iter': 100, 'shrinking': True, 'tol': 0.001, 'verbose': False}"
SVR,VarianceThreshold,RobustScaler(),16,593076.2151687809,-1.388326457888319,-1.326677116785711,"{'C': 100, 'cache_size': 200, 'coef0': 1, 'degree': 3, 'epsilon': 0.1, 'gamma': 'scale', 'kernel': 'poly', 'max_iter': 100, 'shrinking': True, 'tol': 0.001, 'verbose': False}"
SVR,SFS,RobustScaler(),12,624983.0349530061,-1.7611979844760075,-1.5837563745626086,"{'C': 100, 'cache_size': 200, 'coef0': 1, 'degree': 3, 'epsilon': 0.1, 'gamma': 'scale', 'kernel': 'poly', 'max_iter': 100, 'shrinking': True, 'tol': 0.001, 'verbose': False}"
SVR,SelectKBest,StandardScaler(),19,627452.8178037285,-1.961926444290897,-1.604217492843266,"{'C': 100, 'cache_size': 200, 'coef0': 1, 'degree': 3, 'epsilon': 0.1, 'gamma': 'scale', 'kernel': 'poly', 'max_iter': 100, 'shrinking': True, 'tol': 0.001, 'verbose': False}"
SVR,SFS,StandardScaler(),19,646579.0357414191,-2.148706038368943,-1.765402443400088,"{'C': 100, 'cache_size': 200, 'coef0': 1, 'degree': 3, 'epsilon': 0.1, 'gamma': 'scale', 'kernel': 'poly', 'max_iter': 100, 'shrinking': True, 'tol': 0.001, 'verbose': False}"
SVR,SelectKBest,-,12,652516.7049831542,-2.196135559114983,-1.816426180499647,"{'C': 100, 'cache_size': 200, 'coef0': 1, 'degree': 3, 'epsilon': 0.1, 'gamma': 'scale', 'kernel': 'poly', 'max_iter': 100, 'shrinking': True, 'tol': 0.001, 'verbose': False}"
SVR,VarianceThreshold,StandardScaler(),13,655226.0514847471,-2.025246890113624,-1.839863178231148,"{'C': 100, 'cache_size': 200, 'coef0': 1, 'degree': 3, 'epsilon': 0.1, 'gamma': 'scale', 'kernel': 'poly', 'max_iter': 100, 'shrinking': True, 'tol': 0.001, 'verbose': False}"
SVR,SelectKBest,MinMaxScaler(),7,655370.5807973944,-2.261155593806927,-1.8411161465461328,"{'C': 100, 'cache_size': 200, 'coef0': 1, 'degree': 3, 'epsilon': 0.1, 'gamma': 'scale', 'kernel': 'poly', 'max_iter': 100, 'shrinking': True, 'tol': 0.001, 'verbose': False}"
SVR,SFS,StandardScaler(),12,658735.305341252,-2.188758453020768,-1.8703640661649048,"{'C': 100, 'cache_size': 200, 'coef0': 1, 'degree': 3, 'epsilon': 0.1, 'gamma': 'scale', 'kernel': 'poly', 'max_iter': 100, 'shrinking': True, 'tol': 0.001, 'verbose': False}"
