Model,FeatureSelection,Scaler,Number of features,Rmse,R2 Score(train),R2 Score(test),Params
AdaBoostRegressor,SelectKBest,RobustScaler(),16,235343.0742880677,0.6924657854123253,0.6336316500834147,"{'base_estimator': None, 'learning_rate': 0.01, 'loss': 'linear', 'n_estimators': 500, 'random_state': 42}"
AdaBoostRegressor,SelectKBest,RobustScaler(),12,238711.6400220366,0.6890583998960813,0.623068617968136,"{'base_estimator': None, 'learning_rate': 0.01, 'loss': 'linear', 'n_estimators': 500, 'random_state': 42}"
AdaBoostRegressor,SelectKBest,StandardScaler(),12,238834.10783332447,0.6870837683430817,0.622681759558156,"{'base_estimator': None, 'learning_rate': 0.01, 'loss': 'linear', 'n_estimators': 500, 'random_state': 42}"
AdaBoostRegressor,SelectKBest,MinMaxScaler(),12,239570.68469734988,0.6864999162593179,0.6203508324162941,"{'base_estimator': None, 'learning_rate': 0.01, 'loss': 'linear', 'n_estimators': 500, 'random_state': 42}"
AdaBoostRegressor,SelectKBest,-,12,239701.593279814,0.6861038432424524,0.6199358157540866,"{'base_estimator': None, 'learning_rate': 0.01, 'loss': 'linear', 'n_estimators': 500, 'random_state': 42}"
AdaBoostRegressor,SelectKBest,RobustScaler(),7,240448.7463304349,0.6834740419460251,0.6175627929145179,"{'base_estimator': None, 'learning_rate': 0.01, 'loss': 'linear', 'n_estimators': 500, 'random_state': 42}"
AdaBoostRegressor,SelectKBest,-,7,240795.03107198604,0.6828211414512398,0.6164604579411406,"{'base_estimator': None, 'learning_rate': 0.01, 'loss': 'linear', 'n_estimators': 500, 'random_state': 42}"
AdaBoostRegressor,SelectKBest,StandardScaler(),7,241055.01137733483,0.6829005172499827,0.61563181496235,"{'base_estimator': None, 'learning_rate': 0.01, 'loss': 'linear', 'n_estimators': 500, 'random_state': 42}"
AdaBoostRegressor,SelectKBest,MinMaxScaler(),7,241086.21289312144,0.6824965848338391,0.6155323053434685,"{'base_estimator': None, 'learning_rate': 0.01, 'loss': 'linear', 'n_estimators': 500, 'random_state': 42}"
AdaBoostRegressor,VarianceThreshold,-,19,249922.3536206159,0.6338669399666346,0.5868333031800321,"{'base_estimator': None, 'learning_rate': 0.01, 'loss': 'linear', 'n_estimators': 500, 'random_state': 42}"
AdaBoostRegressor,VarianceThreshold,MinMaxScaler(),16,250162.5575333119,0.6331984984330584,0.5860387207966338,"{'base_estimator': None, 'learning_rate': 0.01, 'loss': 'linear', 'n_estimators': 500, 'random_state': 42}"
